P,N,Word,Color,Congruency,Response,Accuracy,RT,Orientation,Accuracy2,RT2,Task
1,1,4,4,1,0,0,0,0,0,0,Test
1,2,2,3,0,110,1,0.854168835707242,1,1,0.621238535706652,Test
1,3,1,4,0,109,1,1.1665461999946301,1,1,0.60070113569963701,Test
1,4,5,2,2,120,1,0.75532860000385005,0,0,0,Test
1,5,1,1,1,122,1,1.0227998356858701,1,1,0.53060049997293401,Test
1,6,5,3,2,110,1,0.78932810001424503,2,1,0.56560980709036801,Test
1,7,4,1,0,122,1,0.896916700003203,0,0,0,Test
1,8,5,3,2,110,1,0.92103870000573795,0,0,0,Test
1,9,1,2,0,120,1,0.36398819999885701,0,0,0,Test
1,10,4,4,1,109,1,0.66426089999731597,1,1,0.483933371375315,Test
1,11,5,3,2,110,1,0.36351870000362402,2,1,0.60614807845559004,Test
1,12,2,2,1,120,1,0.76082260001567203,1,1,0.457179899996845,Test
1,13,3,1,0,122,1,0.32111380001879303,2,1,0.369883135688724,Test
1,14,2,2,1,120,1,0.74623279998195402,2,1,0.42081830705865297,Test
1,15,3,3,1,110,1,0.74329579999903195,2,1,0.421463035716442,Test
1,16,5,4,2,109,1,0.63237783571821604,2,1,0.49552213572314902,Test
1,17,4,1,0,122,1,0.86942453568917699,1,1,0.414831435715314,Test
1,18,3,3,1,110,1,1.2140815000166201,0,0,0,Test
1,19,1,1,1,122,1,1.06523303568247,0,0,0,Test
1,20,4,4,1,109,1,0.83074563569971405,2,1,0.48951443569967501,Test
1,21,5,3,2,110,1,0.87520613570813999,0,0,0,Test
1,22,3,2,0,120,1,0.89730023569427397,0,0,0,Test
1,23,4,4,1,109,1,0.82291670000995498,1,1,0.69244393569533702,Test
1,24,2,1,0,122,1,1.0994381356867999,0,0,0,Test
1,25,5,3,2,110,1,0.73289513570489395,1,1,0.40030243567889601,Test
1,26,3,4,0,109,1,0.59145693571190405,2,1,0.57330103570711799,Test
1,27,5,2,2,120,1,0.76088210000307299,2,1,0.37077569999382798,Test
1,28,2,4,0,109,1,0.66614233571453996,1,1,0.52651423570932798,Test
1,29,5,1,2,122,1,1.16816420000396,1,1,0.46539613569621002,Test
1,30,2,2,1,120,1,0.98497513568145201,0,0,0,Test
1,31,5,3,2,110,1,0.82781043570139501,1,1,0.51824710000073504,Test
1,32,1,4,0,109,1,0.72928719999617897,2,1,0.44936322121066002,Test
1,33,3,2,0,120,1,1.08606289999443,2,1,0.394872471370036,Test
1,34,5,1,2,110,0,0.65109749999828603,1,1,0.55872622120659798,Test
1,35,2,2,1,120,1,0.72338459998718496,2,1,0.47087299998384002,Test
1,36,5,1,2,122,1,0.37073023570701502,0,0,0,Test
