N,Word,Color,Congruency,Response,Accuracy,RT,Orientation,Accuracy2,RT2,P,Congruence,Type,Excluded
1,4,4,1,109,1,0.30235623678890988,1,1,0.41125573677709287,1,Congruent,GO,1
2,2,3,0,110,1,0.72578443677048188,1,1,0.36210110000683893,1,Incongruent,GO,0
3,1,4,0,109,1,0.56829409999772895,1,1,0.387331010337221,1,Incongruent,GO,0
4,5,2,2,120,1,0.39416569998138601,1,1,0.45610223678522688,1,Neutral,GO,0
5,1,1,1,122,1,1.2238206999900301,2,1,0,1,Congruent,NO-GO,0
6,5,3,2,110,1,0.68013719998998601,2,1,0,1,Neutral,NO-GO,0
7,4,1,0,122,1,0.85102740000002086,2,1,0,1,Incongruent,NO-GO,0
8,5,3,2,110,1,0.57798273678054102,2,1,0,1,Neutral,NO-GO,0
9,1,2,0,120,1,0.78958640000200786,2,1,0,1,Incongruent,NO-GO,0
10,4,4,1,109,1,0.33666130001074601,1,1,0.41135869998834101,1,Congruent,GO,0
11,5,3,2,110,1,1.0242520367610299,2,1,0,1,Neutral,NO-GO,0
12,2,2,1,120,1,0.59748279998893905,1,1,0.43006489999243103,1,Congruent,GO,0
13,3,1,0,122,1,0.80027253678417787,2,1,0,1,Incongruent,NO-GO,0
14,2,2,1,120,1,0.54454143677139688,1,1,0.353904299990973,1,Congruent,GO,0
15,3,3,1,110,1,0.55181430000811804,2,1,0,1,Congruent,NO-GO,0
16,5,4,2,109,1,0.41213330000755388,2,1,0,1,Neutral,NO-GO,0
17,4,1,0,122,1,0.84975083678728003,2,1,0,1,Incongruent,NO-GO,0
18,3,3,1,110,1,0.512140300008468,2,1,0,1,Congruent,NO-GO,0
19,1,1,1,122,1,0.82501269999193005,1,1,0.378147436771542,1,Congruent,GO,0
20,4,4,1,109,1,0.46008873678510992,1,1,0.48659690000931688,1,Congruent,GO,0
21,5,3,2,110,1,0.93403913677320805,1,1,0.37683823678526102,1,Neutral,GO,0
22,3,2,0,120,1,0.51861903679673604,1,1,0.46939233678858688,1,Incongruent,GO,0
23,4,4,1,109,1,0.56596680000075095,1,1,0.373109536769334,1,Congruent,GO,0
24,2,1,0,122,1,0.90157909999834396,1,1,0.35574090000591202,1,Incongruent,GO,0
25,5,3,2,110,1,0.53728190000401788,1,1,0.34499164711451202,1,Neutral,GO,0
26,3,4,0,109,1,0.33604950000881201,1,1,0.368271173560061,1,Incongruent,GO,0
27,5,2,2,120,1,0.58509179999237004,1,1,0.362449300009757,1,Neutral,GO,0
28,2,4,0,109,1,0.78004710000823285,1,1,0.41644810000434501,1,Incongruent,GO,0
29,5,1,2,122,1,0.81433269998524305,1,1,0.36126833679736592,1,Neutral,GO,0
30,2,2,1,120,1,0.81348673679167405,2,1,0,1,Congruent,NO-GO,0
31,5,3,2,110,1,0.48764110001502592,1,1,0.45075703677139201,1,Neutral,GO,0
32,1,4,0,109,1,0.364075836783741,1,1,0.379233336774632,1,Incongruent,GO,0
33,3,2,0,120,1,0.57675400000880495,1,1,0.38982313676387992,1,Incongruent,GO,0
34,5,1,2,122,1,0.42940830002771702,1,1,0.48202193679753702,1,Neutral,GO,0
35,2,2,1,120,1,0.56758523680036888,1,1,0.376927999983309,1,Congruent,GO,0
36,5,1,2,122,1,0.73997080000117388,1,1,0.38721563675790088,1,Neutral,GO,0
37,4,4,1,109,1,0.437650999985635,1,1,0.33264513677568203,1,Congruent,GO,1
38,2,3,0,110,1,0.81826703675324086,1,1,0.37513159998343287,1,Incongruent,GO,0
39,1,4,0,109,1,0.84540919997380104,1,1,0.411922510334989,1,Incongruent,GO,0
40,5,2,2,120,1,0.62144580000312988,1,1,0.427599831018597,1,Neutral,GO,0
41,1,1,1,122,1,0.58949469999060988,2,1,0,1,Congruent,NO-GO,0
42,5,3,2,110,1,0.99678250000579305,2,1,0,1,Neutral,NO-GO,0
43,4,1,0,122,1,0.81557630002498605,2,1,0,1,Incongruent,NO-GO,0
44,5,3,2,110,1,0.67070660000899796,2,1,0,1,Neutral,NO-GO,0
45,1,2,0,120,1,0.78531733676209103,2,1,0,1,Incongruent,NO-GO,0
46,4,4,1,109,1,0.38918450000346588,1,0,0,1,Congruent,Miss,0
47,5,3,2,110,1,0.74867349999840405,2,1,0,1,Neutral,NO-GO,0
48,2,2,1,120,1,0.77230709997820701,1,1,0.33068273676326487,1,Congruent,GO,0
49,3,1,0,122,1,0.81057639999198705,2,1,0,1,Incongruent,NO-GO,0
50,2,2,1,120,1,0.53044339999905787,1,1,0.33765833679353802,1,Congruent,GO,0
51,3,3,1,110,1,0.63053619998390786,2,1,0,1,Congruent,NO-GO,0
52,5,4,2,109,1,0.419690899987472,2,1,0,1,Neutral,NO-GO,0
53,4,1,0,122,1,0.64114759999211002,2,1,0,1,Incongruent,NO-GO,0
54,3,3,1,110,1,0.54488760000094805,2,1,0,1,Congruent,NO-GO,0
55,1,1,1,122,1,0.79766109999036405,1,1,0.372071099991445,1,Congruent,GO,0
56,4,4,1,109,1,0.51676909998059295,1,1,0.41610073676565701,1,Congruent,GO,0
57,5,3,2,110,1,0.54005479998886585,1,1,1.5598646367725499,1,Neutral,GO,0
58,3,2,0,120,1,0.938047899981029,1,1,0.427240599994548,1,Incongruent,GO,0
59,4,4,1,109,1,0.44627390001551293,1,1,0.44650628388626501,1,Congruent,GO,0
60,2,1,0,122,1,0.63448249999783002,1,1,0.361751936754445,1,Incongruent,GO,0
61,5,3,2,110,1,0.51427280000643805,1,1,0.34311383677413693,1,Neutral,GO,0
62,3,4,0,109,1,0.36617259998456603,1,1,0.46442149998620202,1,Incongruent,GO,0
63,5,2,2,120,1,0.78037920000497285,1,1,0.42475760000524992,1,Neutral,GO,0
64,2,4,0,110,0,0.61145929998019688,1,1,0.38471430001663992,1,Incongruent,GO,0
65,5,1,2,122,1,0.91704359999857799,1,1,0.40290541033027688,1,Neutral,GO,0
66,2,2,1,120,1,0.70420340000419002,2,1,0,1,Congruent,NO-GO,0
67,5,3,2,110,1,0.54522090000682488,1,1,0.45506010000826802,1,Neutral,GO,0
68,1,4,0,109,1,0.69370510001317587,1,1,0.36139150001690701,1,Incongruent,GO,0
69,3,2,0,120,1,0.44972619999316488,1,1,0.44624600000679487,1,Incongruent,GO,0
70,5,1,2,122,1,0.45398803675198002,1,1,0.34368294713203801,1,Neutral,GO,0
71,2,2,1,120,1,0.69080909999320295,1,1,0.34155169999576201,1,Congruent,GO,0
72,5,1,2,120,0,0.576024800015148,1,1,0.36935429999721192,1,Neutral,GO,0
73,4,4,1,109,1,0.399823100015055,1,1,0.44305090000852893,1,Congruent,GO,1
74,2,3,0,110,1,0.88150310001219601,1,1,0.44139993679709688,1,Incongruent,GO,0
75,1,4,0,109,1,0.54081690000020888,1,1,0.326807699981146,1,Incongruent,GO,0
76,5,2,2,120,1,0.79146760000730887,1,1,0.349450000008801,1,Neutral,GO,0
77,1,1,1,122,1,0.68730989997857295,2,1,0,1,Congruent,NO-GO,0
78,5,3,2,110,1,0.62588269999832902,2,1,0,1,Neutral,NO-GO,0
79,4,1,0,122,1,0.77942813676781986,2,1,0,1,Incongruent,NO-GO,0
80,5,3,2,110,1,0.50929803677718188,2,1,0,1,Neutral,NO-GO,0
81,1,2,0,120,1,0.79824079998070385,2,1,0,1,Incongruent,NO-GO,0
82,4,4,1,109,1,0.37754250000580192,1,1,0.52208667356171701,1,Congruent,GO,0
83,5,3,2,110,1,0.60701569999218885,2,1,0,1,Neutral,NO-GO,0
84,2,2,1,120,1,0.417119236750295,1,1,0.42775849997997301,1,Congruent,GO,0
85,3,1,0,122,1,0.55248820001725085,2,1,0,1,Incongruent,NO-GO,0
86,2,2,1,120,1,0.70510940000531286,1,1,0.44543599997996403,1,Congruent,GO,0
87,3,3,1,110,1,0.77469369999016602,2,1,0,1,Congruent,NO-GO,0
88,5,4,2,109,1,0.35400429999572203,2,1,0,1,Neutral,NO-GO,0
89,4,1,0,122,1,0.78871369999251295,2,1,0,1,Incongruent,NO-GO,0
90,3,3,1,110,1,0.79094643678399701,2,1,0,1,Congruent,NO-GO,0
91,1,1,1,122,1,0.64221319998614501,1,1,0.52181563677731901,1,Congruent,GO,0
92,4,4,1,109,1,0.35165460000280302,1,1,0.34490411492879502,1,Congruent,GO,0
93,5,3,2,110,1,0.40734420000808302,1,1,0.40793681491049888,1,Neutral,GO,0
94,3,2,0,120,1,0.53460370001266688,1,1,0.43714013678254587,1,Incongruent,GO,0
95,4,4,1,109,1,0.540978736768011,1,1,0.44681023678276688,1,Congruent,GO,0
96,2,1,0,122,1,0.80648219998693105,1,1,0.40169570001307903,1,Incongruent,GO,0
97,5,3,2,110,1,0.59350143678602785,1,1,0.37555843679001588,1,Neutral,GO,0
98,3,4,0,109,1,0.37997403676854402,1,1,0.417059500003234,1,Incongruent,GO,0
99,5,2,2,120,1,0.74197719999938305,1,1,0.41428179998183601,1,Neutral,GO,0
100,2,4,0,109,1,1.09669370000483,1,1,0.40537819999735802,1,Incongruent,GO,0
101,5,1,2,122,1,0.65117090000421685,1,1,0.438732936803717,1,Neutral,GO,0
102,2,2,1,120,1,0.52788009998039287,2,1,0,1,Congruent,NO-GO,0
103,5,3,2,110,1,0.40075863676611301,1,1,0.50584969998453688,1,Neutral,GO,0
104,1,4,0,109,1,0.938397899997653,1,1,0.58965203678235401,1,Incongruent,GO,0
105,3,2,0,120,1,0.71637823677156087,1,1,0.332263336778851,1,Incongruent,GO,0
106,5,1,2,122,1,0.86288939998485203,1,1,0.35477683678618588,1,Neutral,GO,0
107,2,2,1,120,1,0.63240333675639704,1,1,0.37967739999294292,1,Congruent,GO,0
108,5,1,2,122,1,1.08854719999363,1,1,0.30094287355313992,1,Neutral,GO,0
109,4,4,1,109,1,0.53123743677861102,1,1,0.462035241362173,1,Congruent,GO,1
110,2,3,0,110,1,1.0194208367611299,1,1,0.41122229999746202,1,Incongruent,GO,0
111,1,4,0,109,1,0.93530889999237798,1,1,0.30477089999476492,1,Incongruent,GO,0
112,5,2,2,120,1,0.81234610002138685,1,1,0.53532670001732185,1,Neutral,GO,0
113,1,1,1,122,1,0.66299940002500102,2,1,0,1,Congruent,NO-GO,0
114,5,3,2,110,1,0.50239779998082701,2,1,0,1,Neutral,NO-GO,0
115,4,1,0,122,1,0.76667093677679088,2,1,0,1,Incongruent,NO-GO,0
116,5,3,2,110,1,0.52823850000277195,2,1,0,1,Neutral,NO-GO,0
117,1,2,0,120,1,0.70720599999185685,2,0,0.41457257355796201,1,Incongruent,False Alarm,0
118,4,4,1,109,1,0.58068193675717295,1,1,0.394275200000266,1,Congruent,GO,0
119,5,3,2,110,1,0.48266273678746102,2,1,0,1,Neutral,NO-GO,0
120,2,2,1,120,1,0.474940336775035,1,1,0.45277420000638802,1,Congruent,GO,0
121,3,1,0,122,1,0.89738893677713405,2,1,0,1,Incongruent,NO-GO,0
122,2,2,1,120,1,0.56287880000309087,1,1,0.44759879997582203,1,Congruent,GO,0
123,3,3,1,110,1,1.56202053677407,2,1,0,1,Congruent,NO-GO,0
124,5,4,2,109,1,0.40826713677961401,2,1,0,1,Neutral,NO-GO,0
125,4,1,0,122,1,0.46914984713657792,2,1,0,1,Incongruent,NO-GO,0
126,3,3,1,110,1,0.426764300005743,2,1,0,1,Congruent,NO-GO,0
127,1,1,1,122,1,0.47098509999341293,1,1,0.38606190000427892,1,Congruent,GO,0
128,4,4,1,109,1,0.489975499978755,1,1,0.39345079424674601,1,Congruent,GO,0
129,5,3,2,110,1,0.67952093677013203,1,1,0.35788391032838301,1,Neutral,GO,0
130,3,2,0,120,1,0.81410703680012386,1,1,0.343026500020642,1,Incongruent,GO,0
131,4,4,1,109,1,0.496817300008843,1,1,0.43014360000961488,1,Congruent,GO,0
132,2,1,0,122,1,0.84077049998450104,1,1,0.35003184710512902,1,Incongruent,GO,0
133,5,3,2,110,1,0.91900940000778075,1,1,0.33255800459301088,1,Neutral,GO,0
134,3,4,0,109,1,0.76470053679076988,1,1,0.29861049997271,1,Incongruent,GO,0
135,5,2,2,120,1,0.73381530001643103,1,1,0.34234111031400988,1,Neutral,GO,0
136,2,4,0,109,1,0.72915503679541904,1,1,0.43444299997645403,1,Incongruent,GO,0
137,5,1,2,122,1,0.557915436773328,1,1,0.33407810001517602,1,Neutral,GO,0
138,2,2,1,120,1,0.60189489999902401,2,1,0,1,Congruent,NO-GO,0
139,5,3,2,110,1,0.50737659999867901,1,1,0.40068323677405687,1,Neutral,GO,0
140,1,4,0,109,1,0.79118293678038787,1,1,0.41325844137463702,1,Incongruent,GO,0
141,3,2,0,120,1,0.64965583677985705,1,1,0.38487303676083701,1,Incongruent,GO,0
142,5,1,2,122,1,0.66590620001079504,1,1,0.36346849999972602,1,Neutral,GO,0
143,2,2,1,120,1,0.60676390002481595,1,1,0.52592939999885902,1,Congruent,GO,0
144,5,1,2,122,1,0.97833640000317301,1,1,0.477472900005523,1,Neutral,GO,0
145,4,4,1,109,1,0.33309450000524488,1,1,0.37482417354476588,1,Congruent,GO,1
146,2,3,0,110,1,0.76979173679137602,1,1,0.41328370000701392,1,Incongruent,GO,0
147,1,4,0,109,1,0.84058829999412388,1,1,0.346998699998949,1,Incongruent,GO,0
148,5,2,2,120,1,0.46184969999012487,1,1,0.42482777356053703,1,Neutral,GO,0
149,1,1,1,110,0,0.38456183677772088,2,1,0,1,Congruent,NO-GO,0
150,5,3,2,110,1,0.89418539998587188,2,1,0,1,Neutral,NO-GO,0
151,4,1,0,122,1,0.78981833677971702,2,1,0,1,Incongruent,NO-GO,0
152,5,3,2,110,1,0.58274273676215704,2,1,0,1,Neutral,NO-GO,0
153,1,2,0,120,1,0.88428613677388102,2,1,0,1,Incongruent,NO-GO,0
154,4,4,1,109,1,0.40557760000228887,1,1,0.44891823676880488,1,Congruent,GO,0
155,5,3,2,110,1,0.98466813677805476,2,1,0,1,Neutral,NO-GO,0
156,2,2,1,120,1,0.51558720000321101,1,1,0.34989890002179902,1,Congruent,GO,0
157,3,1,0,122,1,0.46622463679523202,2,1,0,1,Incongruent,NO-GO,0
158,2,2,1,120,1,0.85949123676982686,1,1,0.53245204710401595,1,Congruent,GO,0
159,3,3,1,110,1,1.4583423000003699,2,1,0,1,Congruent,NO-GO,0
160,5,4,2,109,1,1.0578905000002099,2,1,0,1,Neutral,NO-GO,0
161,4,1,0,122,1,0.60994253677199595,2,1,0,1,Incongruent,NO-GO,0
162,3,3,1,110,1,0.794153536757221,2,1,0,1,Congruent,NO-GO,0
